precision_mean,precision_std,sample_count,recall_mean,recall_std,ndcg_mean,ndcg_std,search_time_mean,search_time_std,improvement_percent
0.3471,0.2386,1148,0.0483,0.0326,0.619,0.2918,0.0,0.0,25.74
0.3395,0.233,1148,0.0476,0.0324,0.6213,0.2957,0.0001,0.0,22.99
0.3331,0.2287,1148,0.0462,0.0303,0.6172,0.2894,0.0,0.0,20.67
0.3279,0.219,1148,0.046,0.0304,0.6183,0.2854,0.0001,0.0001,18.78
0.3104,0.2043,1148,0.044,0.0288,0.6019,0.2906,0.0,0.0,12.45
0.292,0.2158,1148,0.0402,0.0264,0.5806,0.2814,0.0,0.0,5.78
0.276,0.1781,1148,0.0386,0.0226,0.5792,0.2621,0.0,0.0,-0.02
0.2666,0.1756,1148,0.0371,0.0218,0.5647,0.2631,0.0001,0.0,-3.42
0.2656,0.1709,1148,0.0378,0.0225,0.5843,0.2659,0.0,0.0,-3.78
