Precision@10,Recall@10,NDCG@10,Search Time (ms),Sample Count,Improvement (%)
0.3471 ± 0.2386,0.0483 ± 0.0326,0.619,0.0,1148,25.74
0.3395 ± 0.2330,0.0476 ± 0.0324,0.6213,0.1,1148,22.99
0.3331 ± 0.2287,0.0462 ± 0.0303,0.6172,0.0,1148,20.67
0.3279 ± 0.2190,0.0460 ± 0.0304,0.6183,0.1,1148,18.78
0.3104 ± 0.2043,0.0440 ± 0.0288,0.6019,0.0,1148,12.45
0.2920 ± 0.2158,0.0402 ± 0.0264,0.5806,0.0,1148,5.78
0.2760 ± 0.1781,0.0386 ± 0.0226,0.5792,0.0,1148,-0.02
0.2666 ± 0.1756,0.0371 ± 0.0218,0.5647,0.1,1148,-3.42
0.2656 ± 0.1709,0.0378 ± 0.0225,0.5843,0.0,1148,-3.78
